nm	    Data
200.0	8.296
200.2	8.287
200.4	8.248
200.6	8.197
200.8	8.133
201.0	8.064
201.2	7.996
201.4	7.902
201.6	7.777
201.8	7.665
202.0	7.553
202.2	7.453
202.4	7.345
202.6	7.246
202.8	7.137
203.0	7.035
203.2	6.937
203.4	6.820
203.6	6.719
203.8	6.620
204.0	6.545
204.2	6.461
204.4	6.382
204.6	6.298
204.8	6.220
205.0	6.142
205.2	6.064
205.4	5.995
205.6	5.940
205.8	5.870
206.0	5.810
206.2	5.757
206.4	5.703
206.6	5.657
206.8	5.611
207.0	5.565
207.2	5.537
207.4	5.493
207.6	5.455
207.8	5.409
208.0	5.374
208.2	5.312
208.4	5.269
208.6	5.231
208.8	5.188
209.0	5.149
209.2	5.116
209.4	5.075
209.6	5.047
209.8	5.025
210.0	4.995
210.2	4.961
210.4	4.936
210.6	4.912
210.8	4.892
211.0	4.868
211.2	4.852
211.4	4.832
211.6	4.807
211.8	4.788
212.0	4.779
212.2	4.773
212.4	4.751
212.6	4.737
212.8	4.735
213.0	4.728
213.2	4.719
213.4	4.711
213.6	4.703
213.8	4.706
214.0	4.700
214.2	4.689
214.4	4.688
214.6	4.682
214.8	4.684
215.0	4.688
215.2	4.697
215.4	4.696
215.6	4.681
215.8	4.674
216.0	4.677
216.2	4.674
216.4	4.669
216.6	4.672
216.8	4.666
217.0	4.647
217.2	4.637
217.4	4.618
217.6	4.607
217.8	4.600
218.0	4.590
218.2	4.592
218.4	4.590
218.6	4.579
218.8	4.563
219.0	4.543
219.2	4.543
219.4	4.525
219.6	4.521
219.8	4.526
220.0	4.509
220.2	4.482
220.4	4.463
220.6	4.454
220.8	4.436
221.0	4.426
221.2	4.421
221.4	4.412
221.6	4.393
221.8	4.381
222.0	4.366
222.2	4.339
222.4	4.322
222.6	4.308
222.8	4.288
223.0	4.259
223.2	4.245
223.4	4.217
223.6	4.210
223.8	4.203
224.0	4.193
224.2	4.183
224.4	4.175
224.6	4.163
224.8	4.155
225.0	4.147
225.2	4.137
225.4	4.129
225.6	4.118
225.8	4.105
226.0	4.101
226.2	4.101
226.4	4.100
226.6	4.095
226.8	4.089
227.0	4.085
227.2	4.093
227.4	4.089
227.6	4.091
227.8	4.095
228.0	4.095
228.2	4.095
228.4	4.109
228.6	4.114
228.8	4.120
229.0	4.127
229.2	4.127
229.4	4.133
229.6	4.139
229.8	4.139
230.0	4.145
230.2	4.156
230.4	4.158
230.6	4.173
230.8	4.166
231.0	4.169
231.2	4.172
231.4	4.172
231.6	4.167
231.8	4.180
232.0	4.178
232.2	4.169
232.4	4.175
232.6	4.182
232.8	4.172
233.0	4.164
233.2	4.159
233.4	4.146
233.6	4.144
233.8	4.146
234.0	4.134
234.2	4.135
234.4	4.134
234.6	4.122
234.8	4.109
235.0	4.092
235.2	4.080
235.4	4.071
235.6	4.057
235.8	4.048
236.0	4.050
236.2	4.037
236.4	4.030
236.6	4.019
236.8	4.005
237.0	3.997
237.2	3.989
237.4	3.983
237.6	3.985
237.8	3.984
238.0	3.988
238.2	3.979
238.4	3.977
238.6	3.975
238.8	3.975
239.0	3.970
239.2	3.981
239.4	3.982
239.6	3.984
239.8	3.987
240.0	3.987
