Angle,PSD
19.999,196
20.0132,169
20.0274,156
20.0416,147
20.0557,162
20.0699,164
20.0841,174
20.0983,173
20.1124,175
20.1266,178
20.1408,184
20.155,178
20.1691,165
20.1833,174
20.1975,197
20.2117,153
20.2258,161
20.24,178
20.2542,181
20.2684,177
20.2825,160
20.2967,156
20.3109,174
20.3251,189
20.3392,161
20.3534,164
20.3676,180
20.3818,178
20.3959,201
20.4101,158
20.4243,178
20.4385,156
20.4526,176
20.4668,147
20.481,165
20.4952,176
20.5093,197
20.5235,159
20.5377,138
20.5519,173
20.566,159
20.5802,152
20.5944,156
20.6086,185
20.6227,184
20.6369,169
20.6511,152
20.6653,140
20.6794,155
20.6936,183
20.7078,159
20.722,151
20.7361,152
20.7503,165
20.7645,143
20.7787,176
20.7928,163
20.807,160
20.8212,140
20.8354,146
20.8495,156
20.8637,164
20.8779,184
20.8921,159
20.9062,179
20.9204,157
20.9346,141
20.9488,168
20.9629,155
20.9771,157
20.9913,160
21.0055,166
21.0196,139
21.0338,187
21.048,148
21.0622,147
21.0763,183
21.0905,140
21.1047,173
21.1189,162
21.133,163
21.1472,165
21.1614,171
21.1756,151
21.1897,170
21.2039,149
21.2181,163
21.2323,155
21.2464,141
21.2606,181
21.2748,167
21.289,176
21.3031,151
21.3173,201
21.3315,160
21.3457,160
21.3598,183
21.374,157
21.3882,172
21.4024,156
21.4165,170
21.4307,156
21.4449,161
21.4591,167
21.4732,165
21.4874,192
21.5016,173
21.5158,180
21.5299,197
21.5441,177
21.5583,178
21.5725,203
21.5866,188
21.6008,179
21.615,191
21.6292,201
21.6433,220
21.6575,223
21.6717,209
21.6859,219
21.7,228
21.7142,212
21.7284,239
21.7426,227
21.7567,227
21.7709,180
21.7851,197
21.7993,222
21.8134,183
21.8276,211
21.8418,194
21.856,196
21.8701,160
21.8843,155
21.8985,186
21.9127,181
21.9268,174
21.941,172
21.9552,156
21.9694,171
21.9835,172
21.9977,165
22.0119,158
22.0261,173
22.0402,157
22.0544,158
22.0686,191
22.0828,157
22.0969,190
22.1111,177
22.1253,157
22.1395,128
22.1536,168
22.1678,193
22.182,165
22.1962,185
22.2103,176
22.2245,177
22.2387,173
22.2529,159
22.267,186
22.2812,148
22.2954,173
22.3096,161
22.3237,155
22.3379,172
22.3521,133
22.3663,162
22.3804,154
22.3946,168
22.4088,148
22.423,192
22.4371,180
22.4513,162
22.4655,166
22.4797,170
22.4938,184
22.508,170
22.5222,126
22.5364,151
22.5505,169
22.5647,155
22.5789,171
22.5931,167
22.6072,179
22.6214,169
22.6356,165
22.6498,175
22.6639,181
22.6781,175
22.6923,180
22.7065,195
22.7206,207
22.7348,190
22.749,191
22.7632,213
22.7773,212
22.7915,185
22.8057,229
22.8199,240
22.834,206
22.8482,225
22.8624,205
22.8766,189
22.8907,201
22.9049,183
22.9191,177
22.9333,189
22.9474,183
22.9616,207
22.9758,151
22.99,172
23.0041,175
23.0183,156
23.0325,170
23.0467,155
23.0608,179
23.075,152
23.0892,148
23.1034,154
23.1175,182
23.1317,142
23.1459,176
23.1601,179
23.1742,154
23.1884,177
23.2026,156
23.2168,151
23.2309,156
23.2451,156
23.2593,144
23.2735,172
